,centroide_x,centroide_y,bin,n_comp,area_relative_to_image,area_relative_to_bbox,bbox_height,bbox_width
60,0.2609375,0.09520833333333334,3,24,0.0013020833333333333,0.5714285714285714,5,7
61,0.2786458333333333,0.006944444444444445,3,24,0.000390625,0.75,4,2
62,0.30580357142857145,0.2910714285714286,3,24,0.0004557291666666667,0.5833333333333334,4,3
63,0.3020833333333333,0.46944444444444444,3,24,0.0001953125,0.75,2,2
64,0.3046875,0.6166666666666667,3,24,0.00013020833333333333,1.0,2,1
65,0.346875,0.41458333333333336,3,24,0.0006510416666666666,0.8333333333333334,3,4
66,0.4109375,0.22166666666666668,3,24,0.0006510416666666666,0.8333333333333334,4,3
67,0.4375,0.246875,3,24,0.0005208333333333333,0.6666666666666666,4,3
68,0.6015625,0.4708333333333333,3,24,0.00026041666666666666,1.0,4,1
69,0.8227040816326531,0.495046768707483,3,24,0.012760416666666666,0.47342995169082125,23,18
70,0.7109375,0.5166666666666667,3,24,0.00026041666666666666,1.0,4,1
71,0.8984375,0.4708333333333333,3,24,0.00026041666666666666,1.0,4,1
72,0.921875,0.0625,3,24,6.510416666666667e-05,1.0,1,1
73,0.953125,0.058333333333333334,3,24,6.510416666666667e-05,1.0,1,1
74,0.14270833333333333,0.18055555555555555,4,29,0.0009765625,0.5,5,6
75,0.1640625,0.027083333333333334,4,29,0.00026041666666666666,1.0,2,2
76,0.1875,0.31736111111111115,4,29,0.000390625,0.6666666666666666,3,3
77,0.21661931818181818,0.1568181818181818,4,29,0.0014322916666666666,0.6285714285714286,5,7
78,0.27884615384615385,0.007371794871794872,4,29,0.0008463541666666667,0.5416666666666666,8,3
79,0.2421875,0.3375,4,29,0.0006510416666666666,0.5,4,5
80,0.328125,0.3425,4,29,0.0003255208333333333,0.5555555555555556,3,3
81,0.4546875,0.37041666666666667,4,29,0.0006510416666666666,0.6666666666666666,5,3
82,0.4765625,0.32916666666666666,4,29,0.00026041666666666666,1.0,4,1
83,0.4609375,0.35,4,29,0.00013020833333333333,1.0,2,1
84,0.4947916666666667,0.06527777777777778,4,29,0.0001953125,0.75,2,2
85,0.5130208333333334,0.3534722222222222,4,29,0.000390625,0.6666666666666666,3,3
86,0.5625,0.37083333333333335,4,29,0.0001953125,1.0,3,1
87,0.603125,0.2783333333333333,4,29,0.0003255208333333333,0.625,4,2
88,0.609375,0.13333333333333333,4,29,0.0001953125,1.0,3,1
89,0.6546875,0.08708333333333333,4,29,0.0006510416666666666,0.6666666666666666,5,3
90,0.65,0.20166666666666666,4,29,0.0003255208333333333,0.625,4,2
